question_id,section_type,question_type,difficulty,passage,stimulus,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explanation,wrong_answer_a,wrong_answer_b,wrong_answer_c,wrong_answer_d,wrong_answer_e,source,tags
LR_B3_001,Logical Reasoning,Must Be True,1,N/A,"If the baker adds vanilla, the cake will be sweet. The baker added vanilla to the batter today.",The cake is a chocolate cake.,The cake will not be sweet.,The baker forgot the sugar.,The cake will be sweet.,The cake will burn.,D,Modus ponens application of the conditional statement.,Incorrect. Flavor is out of scope.,Incorrect. Contradicts the conditional.,Incorrect. Sugar is not mentioned.,Correct. Direct result of the condition being met.,Incorrect. Burning is not mentioned.,custom_gemini_generated,"logic, conditional"
LR_B3_002,Logical Reasoning,Must Be True,1,N/A,All employees at the firm wear suits. Jessica is an employee at the firm.,Jessica wears dresses.,Jessica wears a suit.,Jessica is the boss.,Suits are expensive.,Jessica dislikes suits.,B,Jessica is part of a group where everyone shares a characteristic.,Incorrect. Contradicts the premise.,Correct. Valid categorical logic.,Incorrect. Role is not specified.,Incorrect. Cost is irrelevant.,Incorrect. Preference is irrelevant.,custom_gemini_generated,"logic, categorical"
LR_B3_003,Logical Reasoning,Must Be True,1,N/A,Only members of the committee can vote on the budget. Mark is voting on the budget.,Mark is not on the committee.,Mark wrote the budget.,The budget will pass.,Mark is a member of the committee.,Mark is the committee chair.,D,"Voting requires committee membership; since Mark is voting, he must be a member.",Incorrect. Contradicts the premise.,Incorrect. Authorship is out of scope.,Incorrect. The outcome is unknown.,Correct. Affirms the necessary condition.,Incorrect. Leadership role is not implied.,custom_gemini_generated,"logic, necessary_condition"
LR_B3_004,Logical Reasoning,Must Be True,1,N/A,"Every time the alarm rings, the dog hides under the bed. The dog is not hiding under the bed.",The alarm is ringing loudly.,The alarm is broken.,The alarm is not ringing.,The dog is deaf.,The bed is too small.,C,Modus tollens; the absence of the necessary condition implies the absence of the sufficient condition.,Incorrect. Contradicts the logic.,Incorrect. Mechanical status is out of scope.,Correct. Valid contrapositive.,Incorrect. Hearing ability is out of scope.,Incorrect. Physical space is not discussed.,custom_gemini_generated,"logic, contrapositive"
LR_B3_005,Logical Reasoning,Must Be True,1,N/A,"To graduate with honors, a student must maintain a 3.8 GPA. Alice graduated with honors.",Alice had a 4.0 GPA.,Alice failed a class.,Alice maintained at least a 3.8 GPA.,Alice was the valedictorian.,Alice cheated on her exams.,C,Graduating with honors guarantees the GPA requirement was met.,"Incorrect. While possible, only a 3.8 is strictly required.","Incorrect. Unlikely if she maintained a 3.8, but not strictly impossible.",Correct. Fulfills the necessary condition.,Incorrect. Valedictorian status is not discussed.,Incorrect. Academic dishonesty is out of scope.,custom_gemini_generated,"logic, necessary_condition"
LR_B3_006,Logical Reasoning,Must Be True,1,N/A,No birds have scales. The pet in the cage has scales.,The pet is a bird.,The pet is a parrot.,The pet is a fish.,The pet is not a bird.,The pet is a reptile.,D,"Because having scales excludes being a bird, the pet cannot be a bird.",Incorrect. Contradicts the premise.,Incorrect. A parrot is a bird.,Incorrect. It could be a reptile; cannot be proven it is a fish.,Correct. Valid deductive inference.,Incorrect. Could be a fish or other scaled animal.,custom_gemini_generated,"logic, categorical"
LR_B3_007,Logical Reasoning,Must Be True,1,N/A,"If the wind speed exceeds 40 mph, the bridge will be closed to traffic. The wind speed is currently 55 mph.",The bridge will be closed to traffic.,The bridge is shaking.,Traffic will be re-routed.,The wind will die down soon.,The bridge is made of steel.,A,"The sufficient condition (wind > 40) is met, triggering the necessary result.",Correct. Direct application of the rule.,Incorrect. Physical movement is not mentioned.,Incorrect. Re-routing is a likely but unstated consequence.,Incorrect. Future weather is unknown.,Incorrect. Material is irrelevant.,custom_gemini_generated,"logic, conditional"
LR_B3_008,Logical Reasoning,Must Be True,1,N/A,All novels in the library are fiction. This blue book is a novel in the library.,The blue book is a biography.,The blue book is non-fiction.,The blue book is fiction.,The blue book is a mystery.,The blue book is long.,C,The book belongs to a set defined as entirely fiction.,Incorrect. Biographies are non-fiction.,Incorrect. Contradicts the premise.,Correct. Direct categorical logic.,Incorrect. Genre subset is unknown.,Incorrect. Length is not discussed.,custom_gemini_generated,"logic, categorical"
LR_B3_009,Logical Reasoning,Must Be True,1,N/A,Only registered patients can see the doctor today. Kevin is seeing the doctor today.,Kevin is a registered patient.,Kevin is a walk-in.,Kevin is the doctor's friend.,Kevin has an emergency.,Kevin forgot his ID.,A,Seeing the doctor guarantees Kevin meets the necessary condition of registration.,Correct. Valid application of the necessary condition.,Incorrect. Contradicts the requirement.,Incorrect. Friendship doesn't bypass the stated rule.,Incorrect. Medical status is not mentioned.,Incorrect. ID status is not mentioned.,custom_gemini_generated,"logic, necessary_condition"
LR_B3_010,Logical Reasoning,Must Be True,1,N/A,Any product with a red sticker is discounted by 50%. This toaster has a red sticker.,The toaster is full price.,The toaster is broken.,The toaster is discounted by 50%.,The toaster is a popular item.,The toaster is blue.,C,The toaster has the attribute that triggers the conditional rule.,Incorrect. Contradicts the rule.,Incorrect. Condition is not mentioned.,Correct. Modus ponens.,Incorrect. Popularity is not mentioned.,Incorrect. Color of the toaster is irrelevant.,custom_gemini_generated,"logic, conditional"
